symbol,price,perf_1y,eps_rating,ad_rating,rs_line_up,rs_percentile,composite_rating,serial_no
NETWEB,5060.9,1.9432110495610657,75,A,False,98,90,1
SYRMA,1334.0,1.61207724994129,75,A,False,97,89,2
GVT&D,5533.5,1.3541865638458348,75,A,False,95,88,3
ATHERENERG,971.7,2.044172854156385,75,C,False,100,85,4
SAILIFE,1216.4,0.6707644321257278,75,A,False,86,84,5
RBLBANK,378.85,0.6986582288544252,75,A,False,88,84,6
NAM-INDIA,1186.9,0.6526103383529893,75,A,False,85,83,7
LAURUSLABS,1412.9,1.1902881546513604,75,C,False,93,82,8
POWERINDIA,36880.0,1.0052560746083512,75,C,False,92,81,9
LTF,286.5,0.543649678219692,75,A,False,78,80,10
USHAMART,476.05,0.5429496962905007,75,A,False,76,78,11
NYKAA,302.3,0.5583276418001926,75,B,False,80,78,12
GMDCLTD,612.9,0.6284122575321993,75,C,False,83,77,13
NAVINFLUOR,7493.5,0.6215731195677463,75,C,False,81,76,14
ABCAPITAL,375.9,0.47019713964537635,75,B,False,73,75,15
HBLENGINE,815.5,0.4525135340629627,75,B,False,71,74,16
ASTERDM,809.4,0.4250966715207951,75,A,False,66,74,17
MCX,2803.8,0.8126544481582547,75,E,False,90,74,18
CCL,1137.3,0.44089106472382933,75,A,False,68,74,19
RADICO,3769.2,0.42177348310418106,75,A,False,64,72,20
NEULANDLAB,17345.0,0.4216168477630118,75,A,False,63,72,21
ENRIN,3833.9,0.40405482515001556,75,A,False,61,71,22
EICHERMOT,7611.0,0.4034200880857841,75,B,False,59,68,23
GPIL,269.1,0.5229134260594945,75,E,False,75,67,24
ACMESOLAR,337.65,0.3748885260196253,75,B,False,56,66,25
THELEELA,494.2,0.2665299762851365,75,A,False,47,64,26
INDIANB,870.1,0.4445832376997476,75,E,False,69,64,27
CUB,196.65,0.38151329506413045,75,C,False,58,64,28
KIMS,804.25,0.2397872435114512,75,A,False,46,64,29
CANBK,133.74,0.31711120448078245,75,C,False,53,62,30
UNIONBANK,175.76,0.3009302663355671,75,C,False,51,61,31
MOTILALOFS,953.45,0.17499493411033873,75,A,False,37,59,32
FORTIS,962.95,0.288716535134637,75,D,False,49,57,33
GMRAIRPORT,108.83,0.35108625335650734,75,E,False,54,56,34
WOCKPHARMA,2011.1,0.19190417672464366,75,C,False,39,55,35
AMBER,7889.0,0.22833787465940047,75,D,False,44,54,36
WAAREEENER,3125.4,0.1706922505791213,75,C,False,36,53,37
MANAPPURAM,318.65,0.21740809880367462,75,D,False,42,53,38
TATAINVEST,691.0,0.08120127830188273,75,A,False,25,53,39
LLOYDSME,1766.2,0.20418066883843555,75,D,False,41,53,40
HDFCAMC,2719.0,0.13930101266322614,75,C,False,32,51,41
AIIL,543.8,0.0663581396676518,75,A,False,20,50,42
MEDANTA,1265.8,0.08878388486694688,75,C,False,29,50,43
AGARWALEYE,466.65,0.14403040176291193,75,D,False,34,49,44
ENDURANCE,2622.4,0.0901521697695562,75,D,False,31,48,45
NIVABUPA,86.87,0.0853323557337653,75,D,False,27,46,46
ITI,312.45,0.017586792472708,75,A,False,10,46,47
AEGISVOPAK,238.35,-0.03423823680614013,75,A,False,7,44,48
CHOICEIN,726.1,0.05224257435069268,75,C,False,17,44,49
BEL,426.9,0.07818840817081552,75,D,False,24,44,50
DEEPAKFERT,1563.3,0.030361441207815254,75,B,False,12,44,51
REDINGTON,280.76,-0.040907923785492795,75,A,False,5,43,52
SOLARINDS,18052.0,0.06994467618068279,75,D,False,22,43,53
IKS,1675.2,0.03420169198280365,75,C,False,14,42,54
MFSL,1669.3,0.05899891969751536,75,D,False,19,42,55
IGIL,355.75,0.0413062277748395,75,D,False,15,40,56
INDIGO,5021.5,-0.045724536309307506,75,B,False,3,40,57
NH,1878.7,0.0049762627298510775,75,C,False,8,39,58
GRSE,2798.3,-0.10224791327632243,75,D,False,2,33,59
