price,volume_ratio,pullback_pct,ema200,symbol,rank
1448.4,7.72,4.94,1290.09,CREDITACC,1.0
481.2,5.25,0.75,436.57,DELHIVERY,2.0
1066.95,2.26,0.0,939.43,AUBANK,3.0
1328.0,2.04,1.96,1276.41,DRREDDY,4.0
393.6,1.23,0.0,333.73,ABCAPITAL,5.0
423.2,1.23,2.97,384.48,BIOCON,6.0
213.75,0.96,1.38,177.19,BANDHANBNK,7.0
2121.8,0.9,1.42,1665.49,BHARATFORG,8.0
199.98,0.83,9.74,170.32,GROWW,9.0
1378.4,0.78,1.75,1270.77,AXISBANK,10.0
8569.5,0.77,0.0,7668.97,APOLLOHOSP,11.0
403.25,0.69,4.52,310.28,BHEL,12.0
505.2,0.68,6.42,478.27,AADHARHFC,13.0
1653.8,0.66,4.32,1490.39,LALPATHLAB,14.0
1536.6,0.61,0.65,1290.09,AUROPHARMA,15.0
6769.0,0.6,2.63,6436.11,DIVISLAB,16.0
469.3,0.52,4.26,442.37,CIEINDIA,17.0
7846.0,0.51,11.27,7352.01,AMBER,18.0
